Subject	Group	TrialNumber	TrialOrder	SuffixAmbiguity	Noun	Suffix	LemmaFrequency	NounLength	SuffixFrequency	SuffixProductivity	SuffixLength	IA_ID	DWELL_TIME	FIRST_FIXATION_DURATION	FIRST_RUN_FIXATION_COUNT	GAZE_DURATION	IA_SKIP	IA_FIRST_FIX_PROGRESSIVE	IA_REGRESSION_PATH_DURATION	IA_SELECTIVE_REGRESSION_PATH_DURATION	PROB_OF_REGRESSION
67a	a	9	37	jedno	davljenje	nje	579	9	23567	2144	3	4	500	220	1	220	0	1	220	220	0
67a	a	11	43	jedno	divljakinja	kinja	5	11	170	37	5	4	928	260	2	584	0	1	584	584	0
67a	a	51	33	vise	drĂ„Ä…Ă„Äľavnik	nik	4766	8	6585	266	3	4	496	212	1	212	0	1	212	212	0
67a	a	85	18	vise	dvojnik	nik	1054	7	6585	266	3	4	808	384	2	548	0	1	548	548	0
67a	a	13	30	jedno	dvorana	ana	11273	7	424	35	3	4	212	212	1	212	0	1	212	212	0
67a	a	15	34	vise	gustina	ina	41	7	6155	225	3	4	436	252	2	436	0	1	436	436	0
67a	a	53	31	jedno	hlep?i?	Ă„Ĺ¤iĂ„â€ˇ	70	7	73	35	3	4	408	256	1	256	0	1	256	256	0
67a	a	55	14	jedno	izvornost	ost	242	9	3001	310	3	4	472	240	1	240	0	1	240	240	0
67a	a	17	9	jedno	jastu?i?	iĂ„â€ˇ	860	8	868	104	2	4	212	212	1	212	0	1	212	212	0
67a	a	57	40	vise	jedinica	nica	59636	8	464	59	4	4	716	264	2	448	0	1	448	448	0
67a	a	59	19	vise	jezi?ak	ak	354	7	5345	165	2	4	780	472	1	472	0	1	472	472	0
67a	a	19	26	vise	kadija	ija	481	6	3200	192	3	4	432	256	1	256	0	1	256	256	0
67a	a	21	16	jedno	konji?	iĂ„â€ˇ	321	6	868	104	2	4	184	184	1	184	0	1	184	184	0
67a	a	23	35	vise	lizalica	lica	271	8	537	65	4	5	412	280	2	412	0	1	412	412	0
67a	a	25	20	jedno	lov?i?	Ă„Ĺ¤iĂ„â€ˇ	0.1	6	73	35	3	4	452	176	1	176	0	1	176	176	0
67a	a	87	12	jedno	nau?nost	ost	132	8	3001	310	3	4	472	252	1	252	0	1	252	252	0
67a	a	61	22	vise	osmina	ina	3177	6	6155	225	3	4	340	340	1	340	0	1	560	340	0
67a	a	27	15	vise	osniva?	aĂ„Ĺ¤	26059	7	2140	166	2	4	396	196	1	196	0	1	196	196	0
67a	a	29	23	vise	primerak	ak	19527	8	5345	165	2	4	200	200	1	200	0	1	200	200	0
67a	a	63	5	vise	primitivac	ac	903	10	3765	191	2	4	400	276	2	400	0	1	400	400	0
67a	a	31	27	vise	putnik	nik	33252	6	6585	266	3	4	192	192	1	192	0	1	192	192	0
67a	a	33	8	vise	redina	ina	25	6	6155	255	3	4	264	176	1	176	0	1	176	176	0
67a	a	65	11	jedno	sluĂ„Ä…Ă‹â€ˇaonica	onica	266	10	91	9	5	4	736	208	1	208	0	1	208	208	0
67a	a	35	25	jedno	smrtnost	ost	3476	8	3001	310	3	4	804	264	2	408	0	1	408	408	0
67a	a	83	7	vise	starac	ac	12858	6	3764	191	2	4	0	0	0	0	1	0	0	0	0
67a	a	67	36	vise	strelac	ac	14091	7	3764	191	2	4	412	240	1	240	0	1	240	240	0
